Type	Num	Sfx	Title_en_US	Duration	Quiz_Count	Related	Read_Verses	URL	All_Verses	Paraphrases	Title_es_ES	Notes
G	1		Singular masculine nouns and adjectives	12:20	0			https://www.youtube.com/watch?v=gLe1GhR5l0E			Lección 1	
G	2		Singular feminine nouns, 	12:24	0			https://www.youtube.com/watch?v=9wtC-HxfW6U			Sustantivos y adjetivos en el plural	
R	2		Quiz for Lessons 1-2	7:18				https://www.youtube.com/watch?v=XZjeD7TVgoc			Juego de repaso para lecciones 1-2	
G	3		Singular neuter nouns, adjectives and article	12:28	0			https://www.youtube.com/watch?v=9kiTGgrK494			Conjunción y Género	
G	4		Review and first conjunctions	15:04	0			https://www.youtube.com/watch?v=ICKQWl5oRhM			Primer vocabulario en acción	
R	4		Quiz for Lessons 3-4	10:43				https://www.youtube.com/watch?v=4b3I99kbpcI			Pronombres del Sujeto	
G	5		1st and 2nd person singular pronouns and the verb 'to be'	10:43	0			https://www.youtube.com/watch?v=Cus1ts4TLb4			Práctica con pronombres	
G	6		Masculine, feminine and neuter plural articles and nouns	16:33	0			https://www.youtube.com/watch?v=SjfGRhudnm8			Juego de Repaso para Lecciones 3-4	
R	6		Quiz for Lessons 5-6	11:21				https://www.youtube.com/watch?v=59ouJeL0CuA				
G	7		Parts of the body and more plural nouns	14:57	0			https://www.youtube.com/watch?v=V2TUeARcnz0				
G	8		Plural masculine, feminine and neuter adjectives	17:03	0			https://www.youtube.com/watch?v=IGUn-_DYSms				
R	8		Quiz for Lessons 7-8	9:36				https://www.youtube.com/watch?v=2Sx1YXWxIFQ				
A	9		Alphabet Part 1	23:41	0			https://www.youtube.com/watch?v=aTnGokTyOMs				
P	9	a	Reading practise with breathing marks and accents	18:48				https://www.youtube.com/watch?v=HwtwoSRBVvw				
G	10		Numbers 1-5 (Neuter)	10:08	0			https://www.youtube.com/watch?v=KJc35t8tg-Q				
R	10		Quiz for Lessons 9-10	9:30				https://www.youtube.com/watch?v=rKRUNLK9zzY				
G	11		Numbers 1-5 (Feminine)	8:58	0			https://www.youtube.com/watch?v=UuwiCVFdHrc				
G	12		Numbers 1-5 (Masculine)	10:54	0			https://www.youtube.com/watch?v=S_Zs4fSHYwE				
R	12		Quiz for Lessons 11-12	7:27				https://www.youtube.com/watch?v=jR5Hwzu2TsI				
G	13		Plural Pronouns	9:12	0			https://www.youtube.com/watch?v=CkqJ3gzI9kg				
G	14		Nominative Pronouns	14:09	0			https://www.youtube.com/watch?v=plAQSSyPVyg				
R	14		Quiz for Lessons 13-14	6:43				https://www.youtube.com/watch?v=Ugvlgv9Y8BE				
G	15		Family terms	19:40	0			https://www.youtube.com/watch?v=jedWl_hKg_Q				
A	16		Alphabet Part 2	21:11	0			https://www.youtube.com/watch?v=KjdzBrUGMZU				
P	16	a	Practise reading with diphthongs	9:00				https://www.youtube.com/watch?v=nqb8iDNttwA				
P	16	b	Practise reading with capital letters	8:17				https://www.youtube.com/watch?v=pwZz24hmiec				
R	16		Quiz for Lessons 15-16	11:24				https://www.youtube.com/watch?v=7a3CBuwOda8				
G	17		Singular genitive pronouns and articles	14:46	0			https://www.youtube.com/watch?v=lycceEiy9WM				
A	18		Alphabet Part 3	18:49	0			https://www.youtube.com/watch?v=P1wIRpcVbkM				
R	18		Quiz for lessons 17-18	13:42				https://www.youtube.com/watch?v=gWKZ7P6cJOM				
X	18		How to write the Greek Alphabet	9:01	0			https://www.youtube.com/watch?v=XdI_EeiW1AQ				
W	18		The Greek Alphabet Song	2:50				https://www.youtube.com/watch?v=749JoaGOCcg				
G	19		Plural genitive pronouns	22:01	0			https://www.youtube.com/watch?v=Hn_5Z7quqxE				
G	20		Genitive second declension nouns	20:49	0			https://www.youtube.com/watch?v=OqYszhK66VE				
S	20		Story 1. The Little Sheep (with text)	3:38				https://www.youtube.com/watch?v=iNmTsw_3IcE				
S	20		Story 2. The Bad Children (with text) ΤΑ ΚΑΚΑ ΠΑΙΔΙΑ	3:38				https://www.youtube.com/watch?v=9868boUMfjg				
R	20		Quiz for Lessons 19-20	12:51				https://www.youtube.com/watch?v=OT5bBRSICEo				
G	21		1st declension genitive singular nouns	14:33	0			https://www.youtube.com/watch?v=yXnbmnA7Quc				
S	21		Story 3. Maria's Family	2:42				https://www.youtube.com/watch?v=d1HRT5NruAo				
G	22		Genitive plural nouns	19:48	0			https://www.youtube.com/watch?v=Wb-C7WstVFY				
R	22		Quiz for Lessons 21 and 22	12:46				https://www.youtube.com/watch?v=Wkq6HkvpRMI				
G	23		Numbers 6-10, many and none	18:32	0			https://www.youtube.com/watch?v=jKrFaCENS0A				
G	24		Prepositional phrases	21:13	0			https://www.youtube.com/watch?v=W9Mw4xxSh1U				
R	24		Quiz for Lessons 23 and 24	11:12				https://www.youtube.com/watch?v=I5VoSRx7wHk				
G	25		Practise prepositional phrases	11:40	0			https://www.youtube.com/watch?v=GqajZIsDraQ				
G	26		Walk!	16:14	0			https://www.youtube.com/watch?v=gelGP1cJe8g				
R	26		Quiz for Lessons 25 and 26	10:03				https://www.youtube.com/watch?v=kmXKxTgeJRs				
G	27		Commands and actions	11:26	0			https://www.youtube.com/watch?v=kmXKxTgeJRs				
G	28		Geography and more	12:53	0			https://www.youtube.com/watch?v=sa_BipgiAXk				
R	28		Quiz for Lessons 27-28	10:53				https://www.youtube.com/watch?v=pnkFDup29r4				
G	29		Speech, Flight, and Divine Messengers	20:49	0			https://www.youtube.com/watch?v=VbW7W6mKVsk				
G	30		Listen! Hear, obey and follow	19:40	0			https://www.youtube.com/watch?v=tqlrw8PqnN0				
R	30		Quiz for Lessons 29 and 30	9:47				https://www.youtube.com/watch?v=MNugr5j70Gk				
G	31		Eating and Drinking	12:29	0			https://www.youtube.com/watch?v=p9QUCa2Etuw				
G	32		Food and Drink	15:58	0			https://www.youtube.com/watch?v=TMunVJ96-xk				
R	32		Quiz for Lessons 31 and 32	13:20				https://www.youtube.com/watch?v=jc0JOz57_y8				
G	33		Give and Take	17:15	0			https://www.youtube.com/watch?v=oVTYSdn0oQA				
G	34		Masculine Accusative Plural	21:19	0			https://www.youtube.com/watch?v=K5A1fGD8Ccs				
R	34		Quiz for Lessons 33 and 34	15:14				https://www.youtube.com/watch?v=0e9aUbOdzs4				
